date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-07-08,Mobilise Cloud,Cloud/DevOps,Graduate Cloud Engineer 2026,Graduate Programme,Bright Network,disqualified,,high,Requires SC security clearance (5yr continuous UK residency) - Selim does not meet this,cv/main_mobilisecloud.tex,cover_letters/cover_mobilisecloud_graduatecloudengineer.tex,brightnetwork.co.uk
2026-07-08,Canonical (Ubuntu),Software Engineering,"Graduate Software Engineer, Open Source and Linux",Graduate Programme,Canonical careers site,disqualified,,high,Restricted to undergraduate-only graduates - Selim is pursuing an MSc,cv/main_canonical.tex,cover_letters/cover_canonical_graduatesoftwareengineer.tex,canonical.com
2026-07-09,Graphcore,Cloud/DevOps,2026 Graduate Software Engineer - DevOps,Graduate Programme,Bright Network,drafted,,high,Rolling deadline. No red flags found,cv/main_graphcore.tex,cover_letters/cover_graphcore_graduatesoftwareengineerdevops.tex,brightnetwork.co.uk
2026-07-09,BCA UK (Constellation Automotive Group),Cloud/DevOps,Junior DevOps Engineer - Graduate Path to Cloud & CI/CD,Graduate Programme,studysmarter mirror,applied,,high,Applied 2026-07-09,cv/main_bca.tex,cover_letters/cover_bca_juniordevopsengineer.tex,talents.studysmarter.co.uk
2026-07-09,Leonardo UK Ltd,Cloud/DevOps,Graduate DevOps Engineer,Graduate Programme,studysmarter mirror,drafted,,high,"CAUTION: defence contractor, likely requires SC clearance (5yr UK residency) which Selim does not meet - same risk profile as Mobilise Cloud rejection. User chose to proceed anyway",cv/main_leonardo.tex,cover_letters/cover_leonardo_graduatedevopsengineer.tex,talents.studysmarter.co.uk
2026-07-09,Reply (Valorem Reply),Cloud/DevOps,Graduate Azure Cloud & Data Engineer,Graduate Programme,Gradcracker,drafted,,high,CAUTION: conflicting start-date info across mirrors (Sept 2025 vs Sept 2026) - verify posting is still open before submitting,cv/main_reply.tex,cover_letters/cover_reply_graduateazureclouddataengineer.tex,gradcracker.com
2026-07-09,Amazon,Software Engineering,Software Development Engineer - 2026,Graduate Programme,Amazon Jobs (confirmed UK posting ID 10408763),drafted,,medium,London/Cambridge/Edinburgh. Broad SWE role - expect DS&A-style interview loop,cv/main_amazon.tex,cover_letters/cover_amazon_softwaredevelopmentengineer.tex,amazon.jobs
2026-07-09,smartDCS IT,Cloud/DevOps,Graduate DevOps Engineer,Graduate Programme,Gradcracker,drafted,Simon Green (simon.green@smartdcsit.co.uk),medium,"CAUTION: posting explicitly requires willingness to undergo SC clearance for some customers (Cheltenham/Gloucester, GCHQ-adjacent) - same risk as Mobilise Cloud rejection",cv/main_smartdcs.tex,cover_letters/cover_smartdcs_graduatedevopsengineer.tex,gradcracker.com
2026-07-09,"Tact (recruiter, client undisclosed)",Software Engineering,.NET Developer,Permanent,LinkedIn,applied,Dan Corrigan (d.corrigan@tact-it.co.uk),good,"Applied 2026-07-09. CV only, no cover letter. Tact is a recruitment agency, not the employer - client undisclosed. Gap: C# experience is via unpaid open-source (IVAO/Aurora) not commercial employment, framed honestly",cv/main_tact.tex,,linkedin.com
2026-09-01,Volt Lines,Software Engineering,Backend Engineer (Python),Permanent,LinkedIn,drafted,,high,"Tailored CV only (fast tier), no cover letter. Gap: no Django/DRF/Celery/Redis production experience, honestly acknowledged",cv/main_voltlines.tex,,linkedin.com
2026-09-01,CRENNO Professional Services,Mobile Development,Mobile Developer (CR-MODE04),Permanent,SmartRecruiters,drafted,,high,"Tailored CV only (fast tier), no cover letter. Kağıthane Istanbul. Gap: no commercial Flutter unit-testing experience",cv/main_crenno.tex,,jobs.smartrecruiters.com
2026-09-01,Jobgether (client undisclosed),Cloud/DevOps,AWS Cloud Engineer,Permanent (remote),LinkedIn,drafted,,medium,"Tailored CV only (fast tier), no cover letter. Client company undisclosed by Jobgether. Gap: AWS experience - Selim's cloud background is Azure",cv/main_jobgether.tex,,linkedin.com
2026-09-01,Lucida AI,Mobile Development,Flutter Developer (Fullstack),Permanent,Indeed,drafted,,medium,"Tailored CV only (fast tier), no cover letter. 3 years Flutter framed as cumulative across internship/academic/teaching, not continuous commercial",cv/main_lucidaai.tex,,tr.indeed.com
2026-09-01,Dream Games,Cloud/DevOps,DevOps Engineer,Permanent,LinkedIn,drafted,,high,"Full application. Fit ~68/100 Good Fit. Gaps (GCP/AWS, Jenkins) framed as transferable from Azure/GitHub Actions. Still open as of 2026-09-12 - documents refreshed and ready to submit",cv/main_dreamgames.tex,cover_letters/cover_dreamgames_devopsengineer.tex,linkedin.com
2026-09-01,adesso Turkey,Cloud/DevOps,DevOps Engineer (Azure),Permanent,LinkedIn,closed,,medium,"Full application. Fit ~70/100 Good Fit. Posting wants 3+ yrs, Selim has under 1 yr - acknowledged honestly in cover letter. CLOSED 2026-09-12: no longer accepting applications (drafted 2026-09-01, never submitted)",cv/main_adesso.tex,cover_letters/cover_adesso_devopsengineerazure.tex,linkedin.com
2026-09-01,Yapı Kredi Teknoloji,Cloud/DevOps,System Engineer - Virtualization and Cloud Platform Management,Permanent,LinkedIn,closed,,high,"Full application, written in Turkish. Fit ~68/100 Good Fit. Kocaeli. Gaps: vROps/SRM/VCF/NSX/Tanzu, no VMware certs - framed as growth areas. CLOSED 2026-09-12: no longer accepting applications (drafted 2026-09-01, never submitted)",cv/main_yapikredi.tex,cover_letters/cover_yapikredi_systemengineervirtualization.tex,linkedin.com
2026-09-01,Detera,Cloud/DevOps,DevOps & Infrastructure Engineer,Permanent,LinkedIn,closed,,medium,"Full application, targeted the posting's junior track (senior track wanted 3+ yrs). Fit ~69/100 Good Fit. Gaps: no NGINX/Apache/HAProxy/Tomcat, no production K8s/OpenShift. CLOSED 2026-09-12: no longer accepting applications (drafted 2026-09-01, never submitted)",cv/main_detera.tex,cover_letters/cover_detera_devopsinfrastructureengineer.tex,linkedin.com
2026-09-01,NewMind AI,Cloud/DevOps,DevOps Engineer,Permanent,LinkedIn,closed,,medium,"Full application. Şişli, Istanbul. Gaps: GitLab CI/CD, Elasticsearch/MongoDB acknowledged honestly; AI-native company angle used naturally given Selim's own LLM-assisted Ansible tooling. CLOSED 2026-09-12: no longer accepting applications (drafted 2026-09-01, never submitted)",cv/main_newmindai.tex,cover_letters/cover_newmindai_devopsengineer.tex,linkedin.com
